Student ID,Class,Full Name,Practice Score,Midterm Score,Final Score,Plus Score,Other Score,Average Score
23CTT1001,23CTT1,Nguyen Van 1,8,10,9,0.1,2.4,9.68
23CTT2002,23CTT2,Phan Van 2,9,8,10,0.2,2.3,9.86
23CTT1003,23CTT1,Nguyen Van 3,10,9,8,0.3,2.2,9.44
23CTT2004,23CTT2,Phan Van 4,8,10,9,0.4,2.1,9.92
23CTT1005,23CTT1,Nguyen Van 5,9,8,10,0.5,2,10
23CTT2006,23CTT2,Phan Van 6,10,9,8,0.6,1.9,9.68
23CTT1007,23CTT1,Nguyen Van 7,8,10,9,0.7,1.8,10
23CTT2008,23CTT2,Phan Van 8,9,8,10,0.8,1.7,10
23CTT2010,23CTT2,Phan Van 10,8,10,9,1,1.5,10
23CTT1011,23CTT1,Nguyen Van 11,9,8,10,1.1,1.4,10
23CTT2012,23CTT2,Phan Van 12,10,9,8,1.2,1.3,10
23CTT1013,23CTT1,Nguyen Van 13,8,10,9,1.3,1.2,10
23CTT2014,23CTT2,Phan Van 14,9,8,10,1.4,1.1,10
23CTT1015,23CTT1,Nguyen Van 15,10,9,8,1.5,1,10
23CTT2016,23CTT2,Phan Van 16,8,10,9,1.6,0.9,10
23CTT1017,23CTT1,Nguyen Van 17,9,8,10,1.7,0.8,10
23CTT2018,23CTT2,Phan Van 18,10,9,8,1.8,0.7,10
23CTT1019,23CTT1,Nguyen Van 19,8,10,9,1.9,0.6,10
23CTT2020,23CTT2,Phan Van 20,9,8,10,2,0.5,10
23CTT1021,23CTT1,Nguyen Van 21,10,9,8,2.1,0.4,10
23CTT2022,23CTT2,Phan Van 22,8,10,9,2.2,0.3,10
23CTT1023,23CTT1,Nguyen Van 23,9,8,10,2.3,0.2,10
23CTT2024,23CTT2,Phan Van 24,10,9,8,2.4,0.1,10
